year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,1.4947e+08,4.14552e+06,0,0,7.02535e+07
2,2.98969e+08,1.58195e+07,0,1.44127e+07,1.78389e+08
3,4.48223e+08,3.28565e+07,0,4.7773e+07,3.05483e+08
4,5.97638e+08,5.60932e+07,8.66459e-10,9.9784e+07,4.51135e+08
5,7.47068e+08,8.31171e+07,1.56051e+06,1.68489e+08,6.13476e+08
6,8.96344e+08,1.13808e+08,6.76639e+06,2.51558e+08,7.9023e+08
7,1.04604e+09,1.46549e+08,1.76913e+07,3.46417e+08,9.55327e+08
8,1.19523e+09,1.81439e+08,3.63908e+07,4.45947e+08,1.1487e+09
9,1.34478e+09,2.17671e+08,6.49874e+07,5.52462e+08,1.34896e+09
10,1.49442e+09,2.55652e+08,1.04029e+08,6.65008e+08,1.55518e+09
11,1.64389e+09,2.94942e+08,1.52918e+08,7.83857e+08,1.76778e+09
12,1.79336e+09,3.34693e+08,2.11681e+08,9.08419e+08,1.98593e+09
13,1.9429e+09,3.75237e+08,2.80325e+08,1.03834e+09,2.20959e+09
14,2.09243e+09,4.16014e+08,3.58833e+08,1.17311e+09,2.41469e+09
15,2.24188e+09,4.57066e+08,4.47214e+08,1.30746e+09,2.64283e+09
16,2.3911e+09,4.98249e+08,5.46002e+08,1.44531e+09,2.87435e+09
17,2.54092e+09,5.40674e+08,6.5523e+08,1.58598e+09,3.10874e+09
18,2.69045e+09,5.83808e+08,7.74227e+08,1.72978e+09,3.34625e+09
19,2.83952e+09,6.25864e+08,9.0319e+08,1.87591e+09,3.58626e+09
20,2.98891e+09,6.67384e+08,1.04203e+09,2.02397e+09,3.80457e+09
21,3.13858e+09,7.10269e+08,1.19075e+09,2.16857e+09,4.04288e+09
22,3.28812e+09,7.52553e+08,1.34926e+09,2.31407e+09,4.28214e+09
23,3.43759e+09,7.9658e+08,1.51796e+09,2.45954e+09,4.52132e+09
24,3.58726e+09,8.39798e+08,1.69625e+09,2.60502e+09,4.76044e+09
25,3.73668e+09,8.83895e+08,1.884e+09,2.75e+09,4.99916e+09
26,3.88652e+09,9.27299e+08,2.08104e+09,2.89396e+09,5.23684e+09
27,4.03588e+09,9.74337e+08,2.28009e+09,3.02254e+09,5.42573e+09
28,4.18531e+09,1.02185e+09,2.47859e+09,3.14717e+09,5.63414e+09
29,4.33466e+09,1.07092e+09,2.67711e+09,3.27709e+09,5.84792e+09
30,4.48412e+09,1.11868e+09,2.87567e+09,3.41211e+09,6.0668e+09
31,4.48412e+09,1.16467e+09,3.07373e+09,3.54814e+09,6.19296e+09
32,4.48412e+09,1.20274e+09,3.27183e+09,3.66993e+09,6.30489e+09
33,4.48412e+09,1.23486e+09,3.47293e+09,3.77666e+09,6.40176e+09
34,4.48412e+09,1.26307e+09,3.67454e+09,3.8644e+09,6.47964e+09
35,4.48412e+09,1.2874e+09,3.87508e+09,3.93983e+09,6.54523e+09
36,4.48412e+09,1.31004e+09,4.07356e+09,4.00418e+09,6.59971e+09
37,4.48412e+09,1.32936e+09,4.26743e+09,4.05551e+09,6.64117e+09
38,4.48412e+09,1.34721e+09,4.45459e+09,4.101e+09,6.67679e+09
39,4.48412e+09,1.36306e+09,4.63349e+09,4.14269e+09,6.70864e+09
40,4.48412e+09,1.37772e+09,4.80599e+09,4.18061e+09,6.7367e+09
41,4.48412e+09,1.3909e+09,4.96967e+09,4.21088e+09,6.7571e+09
42,4.48412e+09,1.40365e+09,5.12501e+09,4.23822e+09,6.77458e+09
43,4.48412e+09,1.41547e+09,5.27209e+09,4.26288e+09,6.78937e+09
44,4.48412e+09,1.42623e+09,5.41028e+09,4.28111e+09,6.79771e+09
45,4.48412e+09,1.43668e+09,5.54029e+09,4.29735e+09,6.8041e+09
46,4.48412e+09,1.44651e+09,5.66445e+09,4.31159e+09,6.80847e+09
47,4.48412e+09,1.45592e+09,5.77971e+09,4.32037e+09,6.8074e+09
48,4.48412e+09,1.46499e+09,5.88613e+09,4.32893e+09,6.8061e+09
49,4.48412e+09,1.47399e+09,5.9843e+09,4.33716e+09,6.80447e+09
50,4.48412e+09,1.48249e+09,6.07359e+09,4.34126e+09,6.79869e+09
51,4.48412e+09,1.49114e+09,6.154e+09,4.34663e+09,6.79419e+09
52,4.48412e+09,1.49932e+09,6.22614e+09,4.35301e+09,6.79072e+09
53,4.48412e+09,1.50717e+09,6.29201e+09,4.36074e+09,6.78857e+09
54,4.48412e+09,1.51521e+09,6.34685e+09,4.36644e+09,6.78439e+09
55,4.48412e+09,1.52279e+09,6.39126e+09,4.37029e+09,6.77838e+09
56,4.48412e+09,1.53041e+09,6.42786e+09,4.37698e+09,6.77521e+09
57,4.48412e+09,1.53801e+09,6.46346e+09,4.3856e+09,6.77396e+09
58,4.48412e+09,1.54548e+09,6.49805e+09,4.39143e+09,6.76992e+09
59,4.48412e+09,1.55243e+09,6.53412e+09,4.39865e+09,6.7673e+09
60,4.48412e+09,1.55957e+09,6.56917e+09,4.40775e+09,6.76653e+09
61,4.48412e+09,1.56671e+09,6.60274e+09,4.41451e+09,6.76342e+09
62,4.48412e+09,1.57352e+09,6.63771e+09,4.42273e+09,6.76178e+09
63,4.48412e+09,1.58022e+09,6.67221e+09,4.43237e+09,6.76157e+09
64,4.48412e+09,1.58705e+09,6.70572e+09,4.43914e+09,6.75847e+09
65,4.48412e+09,1.5943e+09,6.73822e+09,4.44794e+09,6.7574e+09
66,4.48412e+09,1.60123e+09,6.77274e+09,4.45765e+09,6.75723e+09
67,4.48412e+09,1.60764e+09,6.80624e+09,4.4645e+09,6.75421e+09
68,4.48412e+09,1.61397e+09,6.83879e+09,4.47339e+09,6.75324e+09
69,4.48412e+09,1.62088e+09,6.8733e+09,4.4832e+09,6.75319e+09
70,4.48412e+09,1.62724e+09,6.90681e+09,4.49018e+09,6.75032e+09
71,4.48412e+09,1.63367e+09,6.93933e+09,4.49917e+09,6.74944e+09
72,4.48412e+09,1.64044e+09,6.97383e+09,4.50913e+09,6.74953e+09
73,4.48412e+09,1.64722e+09,7.00731e+09,4.51622e+09,6.74674e+09
74,4.48412e+09,1.65338e+09,7.03983e+09,4.52536e+09,6.74601e+09
75,4.48412e+09,1.65964e+09,7.07431e+09,4.53548e+09,6.74626e+09
76,4.48412e+09,1.66618e+09,7.10785e+09,4.54751e+09,6.74843e+09
77,4.48412e+09,1.67256e+09,7.14039e+09,4.55676e+09,6.74783e+09
78,4.48412e+09,1.67897e+09,7.17248e+09,4.56753e+09,6.74873e+09
79,4.48412e+09,1.68541e+09,7.20655e+09,4.57924e+09,6.75056e+09
80,4.48412e+09,1.69184e+09,7.24209e+09,4.58749e+09,6.74895e+09
81,4.48412e+09,1.69812e+09,7.27716e+09,4.60196e+09,6.75357e+09
82,4.48412e+09,1.70441e+09,7.31176e+09,4.613e+09,6.75474e+09
83,4.48412e+09,1.71101e+09,7.34779e+09,4.62538e+09,6.75727e+09
84,4.48412e+09,1.71726e+09,7.38339e+09,4.639e+09,6.76101e+09
85,4.48412e+09,1.72368e+09,7.41851e+09,4.6492e+09,6.76135e+09
86,4.48412e+09,1.72991e+09,7.4556e+09,4.66026e+09,6.76254e+09
87,4.48412e+09,1.73617e+09,7.49224e+09,4.67259e+09,6.76501e+09
88,4.48412e+09,1.74262e+09,7.52842e+09,4.68143e+09,6.76399e+09
89,4.48412e+09,1.74858e+09,7.56606e+09,4.69157e+09,6.76426e+09
90,4.48412e+09,1.75493e+09,7.60322e+09,4.70301e+09,6.76585e+09
91,4.48412e+09,1.7612e+09,7.63938e+09,4.71155e+09,6.76452e+09
92,4.48412e+09,1.76741e+09,7.677e+09,4.72135e+09,6.76445e+09
93,4.48412e+09,1.77407e+09,7.71414e+09,4.73249e+09,6.76572e+09
94,4.48412e+09,1.78035e+09,7.75031e+09,4.74061e+09,6.76397e+09
95,4.48412e+09,1.78649e+09,7.78794e+09,4.75004e+09,6.76352e+09
96,4.48412e+09,1.7928e+09,7.82506e+09,4.76077e+09,6.76437e+09
97,4.48412e+09,1.79915e+09,7.86122e+09,4.76854e+09,6.76229e+09
98,4.48412e+09,1.80537e+09,7.89876e+09,4.77759e+09,6.76146e+09
99,4.48412e+09,1.8116e+09,7.93585e+09,4.78796e+09,6.76199e+09
100,4.48412e+09,1.81797e+09,7.97195e+09,4.79538e+09,6.75955e+09
