year, deforest_emission, woodwaste_emission, palms_harvest, palms_NEP, palms_C_stocks
1,7.47154e+06,302291,0,0,0
2,1.49445e+07,1.1631e+06,0,922754,922754
3,2.24138e+07,2.3992e+06,0,2.75263e+06,2.75263e+06
4,2.98853e+07,3.91984e+06,5.54962e-11,5.47391e+06,5.47391e+06
5,3.73546e+07,5.65522e+06,100021,8.97145e+06,8.97145e+06
6,4.48332e+07,7.5298e+06,400060,1.31279e+07,1.31279e+07
7,5.23143e+07,9.5208e+06,1e+06,1.78258e+07,1.78258e+07
8,5.97822e+07,1.15792e+07,1.9999e+06,2.2946e+07,2.2946e+07
9,6.72574e+07,1.36692e+07,3.49996e+06,2.83699e+07,2.83699e+07
10,7.47392e+07,1.58373e+07,5.49997e+06,3.40785e+07,3.40785e+07
11,8.22123e+07,1.80291e+07,8.0001e+06,4.00501e+07,4.00501e+07
12,8.9684e+07,2.02429e+07,1.09999e+07,4.62647e+07,4.62647e+07
13,9.7153e+07,2.24554e+07,1.44999e+07,5.26993e+07,5.26993e+07
14,1.04626e+08,2.47068e+07,1.85005e+07,5.93333e+07,5.93333e+07
15,1.12097e+08,2.69358e+07,2.30018e+07,6.61416e+07,6.61416e+07
16,1.19574e+08,2.91951e+07,2.80019e+07,7.31026e+07,7.31026e+07
17,1.27053e+08,3.14673e+07,3.35016e+07,8.01917e+07,8.01917e+07
18,1.3452e+08,3.37208e+07,3.95015e+07,8.73832e+07,8.73832e+07
19,1.42001e+08,3.73935e+07,4.60013e+07,9.01892e+07,8.73846e+07
20,1.49478e+08,4.12969e+07,5.25012e+07,9.29978e+07,8.73894e+07
21,1.56953e+08,4.53823e+07,5.90015e+07,9.67257e+07,8.83129e+07
22,1.64425e+08,4.96293e+07,6.55008e+07,1.0136e+08,9.01423e+07
23,1.71906e+08,5.39806e+07,7.20011e+07,1.06886e+08,9.28632e+07
24,1.79386e+08,5.83695e+07,7.86009e+07,1.1319e+08,9.63641e+07
25,1.86859e+08,6.2782e+07,8.54012e+07,1.20152e+08,1.00521e+08
26,1.94335e+08,6.72925e+07,9.2501e+07,1.27651e+08,1.05216e+08
27,2.01805e+08,7.17848e+07,1e+08,1.35577e+08,1.10337e+08
28,2.09283e+08,7.63013e+07,1.08e+08,1.43807e+08,1.15763e+08
29,2.16755e+08,8.0845e+07,1.165e+08,1.5232e+08,1.21471e+08
30,2.24236e+08,8.53767e+07,1.255e+08,1.61095e+08,1.27441e+08
31,2.31708e+08,8.9952e+07,1.35001e+08,1.70117e+08,1.33658e+08
32,2.39191e+08,9.44758e+07,1.45002e+08,1.79355e+08,1.40091e+08
33,2.46665e+08,9.90331e+07,1.55501e+08,1.88795e+08,1.46727e+08
34,2.54145e+08,1.03605e+08,1.66502e+08,1.98407e+08,1.53535e+08
35,2.6162e+08,1.08203e+08,1.78001e+08,2.08176e+08,1.60499e+08
36,2.69095e+08,1.12791e+08,1.90001e+08,2.18069e+08,1.67588e+08
37,2.7657e+08,1.17373e+08,2.02502e+08,2.28063e+08,1.74778e+08
38,2.84051e+08,1.23335e+08,2.15501e+08,2.33673e+08,1.74778e+08
39,2.91525e+08,1.29599e+08,2.28502e+08,2.39282e+08,1.74778e+08
40,2.99e+08,1.36054e+08,2.41503e+08,2.45812e+08,1.75697e+08
41,3.06477e+08,1.42561e+08,2.54503e+08,2.53249e+08,1.77527e+08
42,3.13958e+08,1.49127e+08,2.67503e+08,2.61583e+08,1.80252e+08
43,3.21435e+08,1.55677e+08,2.80602e+08,2.70694e+08,1.83755e+08
44,3.289e+08,1.62299e+08,2.93901e+08,2.80462e+08,1.87913e+08
45,3.36372e+08,1.68967e+08,3.07502e+08,2.90765e+08,1.92608e+08
46,3.43846e+08,1.75669e+08,3.21502e+08,3.01494e+08,1.97727e+08
47,3.51322e+08,1.82384e+08,3.36004e+08,3.12523e+08,2.03146e+08
48,3.58797e+08,1.89121e+08,3.51004e+08,3.23841e+08,2.08856e+08
49,3.66269e+08,1.95864e+08,3.66505e+08,3.35425e+08,2.1483e+08
50,3.73737e+08,2.02631e+08,3.82505e+08,3.47245e+08,2.21041e+08
51,3.81208e+08,2.09413e+08,3.99007e+08,3.59286e+08,2.27473e+08
52,3.88675e+08,2.16191e+08,4.16007e+08,3.7153e+08,2.34107e+08
53,3.96147e+08,2.22981e+08,4.33507e+08,3.83953e+08,2.40922e+08
54,4.03621e+08,2.29749e+08,4.51506e+08,3.96527e+08,2.47886e+08
55,4.11092e+08,2.36543e+08,4.70006e+08,4.09224e+08,2.54974e+08
56,4.18564e+08,2.43355e+08,4.89005e+08,4.22024e+08,2.62166e+08
57,4.26037e+08,2.51509e+08,5.08507e+08,4.30437e+08,2.62166e+08
58,4.33513e+08,2.60048e+08,5.28008e+08,4.38849e+08,2.62163e+08
59,4.40987e+08,2.68717e+08,5.47507e+08,4.48186e+08,2.63088e+08
60,4.48455e+08,2.77456e+08,5.67009e+08,4.58427e+08,2.64916e+08
61,4.48455e+08,2.85911e+08,5.8651e+08,4.69563e+08,2.67639e+08
62,4.48455e+08,2.93816e+08,6.0611e+08,4.80551e+08,2.70214e+08
63,4.48455e+08,3.01315e+08,6.25909e+08,4.91294e+08,2.72543e+08
64,4.48455e+08,3.08573e+08,6.4601e+08,5.01684e+08,2.7452e+08
65,4.48455e+08,3.15619e+08,6.6641e+08,5.11718e+08,2.76139e+08
66,4.48455e+08,3.22477e+08,6.87109e+08,5.21399e+08,2.77406e+08
67,4.48455e+08,3.2919e+08,7.08009e+08,5.30823e+08,2.78416e+08
68,4.48455e+08,3.35731e+08,7.29007e+08,5.40094e+08,2.79275e+08
69,4.48455e+08,3.42196e+08,7.50007e+08,5.49299e+08,2.80066e+08
70,4.48455e+08,3.48557e+08,7.71007e+08,5.5844e+08,2.80792e+08
71,4.48455e+08,3.54827e+08,7.92007e+08,5.67513e+08,2.81451e+08
72,4.48455e+08,3.61035e+08,8.13006e+08,5.76523e+08,2.82047e+08
73,4.48455e+08,3.67219e+08,8.34007e+08,5.85466e+08,2.82579e+08
74,4.48455e+08,3.73323e+08,8.55008e+08,5.94336e+08,2.83036e+08
75,4.48455e+08,3.7941e+08,8.76009e+08,6.03127e+08,2.83413e+08
76,4.48455e+08,3.86838e+08,8.97008e+08,6.07383e+08,2.76449e+08
77,4.48455e+08,3.94538e+08,9.17507e+08,6.11515e+08,2.69364e+08
78,4.48455e+08,4.02375e+08,9.37508e+08,6.16465e+08,2.63095e+08
79,4.48455e+08,4.08851e+08,9.57009e+08,6.2671e+08,2.64926e+08
80,4.48455e+08,4.14993e+08,9.76507e+08,6.37843e+08,2.67645e+08
81,4.48455e+08,4.21011e+08,9.96107e+08,6.48832e+08,2.70221e+08
